satellite,timestamp,x_pred,y_pred,z_pred,vx_pred,vy_pred,vz_pred,x_truth,y_truth,z_truth,vx_truth,vy_truth,vz_truth,dx,dy,dz,dvx,dvy,dvz,dr,ds,dw,dvr,dvs,dvw
LAGEOS 1,2025-01-01 04:51:13.726080,-11286.28494670026,-1062.5796997374507,4717.955521992632,-2.248817563364355,1.8905939184662657,-4.880198814025789,-11286.36182744048,-1062.5368198987494,4717.926558832877,-2.248745310029335,1.8907629854941206,-4.8801321363444,-0.0768807402200764,0.04287983870131029,-0.028963159755221568,7.225333501992282e-05,0.0001690670278549078,6.667768138868269e-05,0.055827033684033495,0.06912040874145955,-0.02634207304482885,-5.542380046971585e-05,-2.9261454228597128e-05,-0.0001852622119118869
LAGEOS 1,2025-01-01 04:56:13.726080,-11849.63243943343,-486.95631840951523,3212.962886414275,-1.5010031092097051,1.9406853661885748,-5.13678784325657,-11849.688153710522,-486.86317910699705,3212.9560605005026,-1.5009350606978842,1.940851193610854,-5.13671638300093,-0.05571427709219279,0.09313930251818192,-0.006825913772445347,6.804851182096172e-05,0.00016582742227910785,7.146025563997682e-05,0.048254277336938406,0.05237042775907281,-0.08218556113654928,-5.351130530656013e-05,-2.5635390986272995e-05,-0.00018361718059669958
LAGEOS 1,2025-01-01 05:01:13.726080,-12184.127884294066,98.07491033542667,1645.854823441684,-0.7256140550271084,1.9532376463915568,-5.293697526694132,-12184.164025728425,98.21722969630426,1645.8708935044306,-0.7255506463643542,1.953397009082309,-5.2936240574979365,-0.03614143435879669,0.14231936087759323,0.01607006274662126,6.340866275422741e-05,0.0001593626907521184,7.346919619521941e-05,0.0391014073972014,0.03834112265025587,-0.13718705816611962,-5.173004299359679e-05,-2.1500409800988155e-05,-0.00017797916601635294
LAGEOS 1,2025-01-01 05:06:13.726080,-12283.743685912576,681.21859846428,46.9823787077572,0.062339587369933724,1.9281473124236754,-5.348274427860581,-12283.761636984262,681.4080382463626,47.02121266557699,0.0623983842360758,1.9282969538438692,-5.348201748903371,-0.01795107168618415,0.18943978208255885,0.038833957819790044,5.879686614207458e-05,0.00014964142019380233,7.267895720985962e-05,0.028561254721873205,0.027396958197003003,-0.19013524055362038,-5.014282079190087e-05,-1.676235938035943e-05,-0.00016833471940718212
LAGEOS 1,2025-01-01 05:11:13.726080,-12146.98256408518,1251.2565553583997,-1552.803186042397,0.8477142242227274,1.8660295047350246,-5.299837099352544,-12146.983357040164,1251.4900042819027,-1552.7424592646194,0.8477689903629653,1.8661662044316927,-5.299767860804195,-0.0007929549847176531,0.23344892350291957,0.060726777777745156,5.476614023791626e-05,0.00013669969666807447,6.923854834894883e-05,0.016851882024219157,0.01984099294977438,-0.2398105904095068,-4.8881462134322124e-05,-1.132989415879584e-05,-0.00015479777104704617
LAGEOS 1,2025-01-01 05:16:13.726080,-11776.874148582936,1797.2604419389465,-3122.7407481150303,1.6155206632593035,1.7681963732898112,-5.149661649896643,-11776.858390610832,1797.5336985720082,-3122.659546991261,1.615572564309332,1.768316975109201,-5.149598079021416,0.015757972103529028,0.2732566330616919,0.08120112376946054,5.190105002839118e-05,0.00012060181938977621,6.357087522701477e-05,0.004219299986659004,0.015915628437632334,-0.2850263390943173,-4.814949286667116e-05,-5.169938898134055e-06,-0.00013760331420345362
LAGEOS 1,2025-01-01 05:21:13.726080,-11180.886700829276,2308.7960188776874,-4632.739753734171,2.3512012108585623,1.6366229223617665,-4.900930696762771,-11180.85455555863,2309.1037892150307,-4632.63982441094,2.3512519302385044,1.6367243699855862,-4.900874310329527,0.032145270646651625,0.3077703373432996,0.09992932323166315,5.071937994216569e-05,0.00010144762381969485,5.638643324346049e-05,-0.009072395339437309,0.015797893087978854,-0.32466888799464433,-4.821794894517172e-05,1.7086381213537292e-06,-0.00011711368702927244
LAGEOS 1,2025-01-01 05:26:13.726080,-10370.758025095049,2776.115430381303,-6053.94020239559,3.040890833515732,1.473901693354037,-4.5586488074395675,-10370.709246985936,2776.4513706986186,-6053.823385715332,3.0409423558903654,1.4739810537871563,-4.558600083783858,0.048778109112390666,0.33594031731536234,0.11681668025812542,5.152237463335041e-05,7.936043311929097e-05,4.872365570918191e-05,-0.02275491821396202,0.019601280551730146,-0.3577420034198724,-4.940968972374906e-05,9.1889872154553e-06,-9.381296889963938e-05
LAGEOS 1,2025-01-01 05:31:13.726080,-9362.250987584726,3190.33441665203,-7359.242704081549,3.671658332052175,1.2831878492788746,-4.129528169206424,-9362.185016171925,3190.6912123783545,-7359.11069167411,3.6717125245977513,1.283242335050545,-4.12948636298006,0.0659714128014457,0.35679572632443524,0.13201240743910603,5.419254557637032e-05,5.448577167044277e-05,4.1806226363405585e-05,-0.036570527615914845,0.027364803473363675,-0.3834011703021084,-5.201004919676579e-05,1.704837591124626e-05,-6.824660822823173e-05
LAGEOS 1,2025-01-01 05:36:13.726080,-8174.840100372049,3543.5918321546324,-8523.800306388966,4.231724577449313,1.0681363296580457,-3.621848564789616,-8174.756227405425,3543.9613111824588,-8523.654414521086,4.231782674415626,1.0681633859740032,-3.621811698516467,0.08387296662385779,0.36947902782640085,0.14589186787998187,5.8096966313314624e-05,2.705631595745217e-05,3.686627314891666e-05,-0.05027536778030397,0.03904437104530234,-0.40097604433628087,-5.622642318510275e-05,2.4951799656084028e-05,-4.1017323823267806e-05
